contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
ASML260717C02440000,2026-07-02 15:21:36+00:00,2440.0,3.5,0.9,2.65,0.0,0.0,8.0,33,0.8813488427734374,False,REGULAR,USD
ASML260717C02460000,2026-07-07 14:41:07+00:00,2460.0,1.7,0.8,2.45,-2.3,-57.5,1.0,21,0.888550919189453,False,REGULAR,USD
ASML260717C02480000,2026-07-06 13:43:41+00:00,2480.0,3.2,0.85,2.3,0.0,0.0,1.0,20,0.9024667956542969,False,REGULAR,USD
ASML260717C02500000,2026-07-07 16:36:43+00:00,2500.0,1.45,0.75,2.15,-1.45,-50.0,2.0,72,0.9097909411621092,False,REGULAR,USD
ASML260717C02520000,2026-07-02 19:17:51+00:00,2520.0,2.0,0.5,2.0,0.0,0.0,2.0,9,0.909058526611328,False,REGULAR,USD
ASML260717C02540000,2026-07-06 13:34:23+00:00,2540.0,2.5,0.5,1.85,0.0,0.0,1.0,18,0.9184578466796876,False,REGULAR,USD
ASML260717C02550000,2026-07-02 15:26:47+00:00,2550.0,2.15,0.35,1.8,0.0,0.0,12.0,87,0.9165047412109376,False,REGULAR,USD
ASML260717C02560000,2026-06-29 15:01:15+00:00,2560.0,2.0,0.3,1.75,0.0,0.0,2.0,7,0.9191902612304688,False,REGULAR,USD
ASML260717C02580000,2026-06-29 15:01:15+00:00,2580.0,1.84,0.25,1.6,0.0,0.0,,1,0.9235847485351563,False,REGULAR,USD
ASML260717C02600000,2026-07-07 16:37:23+00:00,2600.0,0.87,0.3,1.4,-1.13,-56.5,12.0,18,0.9299323413085938,False,REGULAR,USD
ASML260717C02620000,2026-07-07 16:37:23+00:00,2620.0,0.79,0.25,1.35,-7.34,-90.2829,10.0,10,0.9387213159179688,False,REGULAR,USD
ASML260717C02650000,2026-06-12 19:15:49+00:00,2650.0,8.66,0.15,1.3,0.0,0.0,,3,0.9506840869140624,False,REGULAR,USD
ASML260717C02660000,2026-07-07 14:46:58+00:00,2660.0,0.7,0.1,1.25,-0.75000006,-51.72414,2.0,8,0.9504399487304687,False,REGULAR,USD
ASML260717C02680000,2026-07-07 15:16:35+00:00,2680.0,0.7,0.35,1.1,-2.8,-80.0,2.0,29,0.9731447998046875,False,REGULAR,USD
ASML260717C02700000,2026-07-07 13:30:08+00:00,2700.0,2.7,0.1,1.1,-0.70000005,-20.588238,1.0,14,0.9672854833984376,False,REGULAR,USD
ASML260717C02720000,2026-06-29 18:32:18+00:00,2720.0,1.36,0.05,1.05,0.0,0.0,,1,0.9721682470703125,False,REGULAR,USD
ASML260717C02740000,2026-07-02 15:43:29+00:00,2740.0,0.81,0.0,1.0,0.0,0.0,4.0,2,0.9765627343750001,False,REGULAR,USD
ASML260717C02750000,2026-07-01 13:30:09+00:00,2750.0,1.75,0.05,0.95,0.0,0.0,2.0,4,0.983398603515625,False,REGULAR,USD
ASML260717C02760000,2026-07-07 16:03:54+00:00,2760.0,0.35,0.25,0.4,-0.5,-58.82353,71.0,418,0.94726615234375,False,REGULAR,USD
