"Ticker","Market Cap","Short Float","Relative Volume","Price","Earnings Date"
"BOOT",4549.15,9.30%,1.05,149.98,7/29/2026 4:30:00 PM
"BRO",22933.21,6.48%,0.82,67.66,7/27/2026 4:30:00 PM
"BRSP",681.35,2.89%,0.78,5.23,7/28/2026 4:30:00 PM
"BRX",9953.78,6.05%,0.62,32.44,7/27/2026 4:30:00 PM
"BSX",65771.21,1.91%,1.03,44.25,7/29/2026 8:30:00 AM
"BTE",3197.23,2.98%,1.04,4.32,7/30/2026 4:30:00 PM
"BTSG",14309.20,6.61%,0.64,72.91,7/31/2026 8:30:00 AM
"BTU",2777.04,11.04%,0.56,22.80,7/29/2026 8:30:00 AM
"BUD",141167.28,0.38%,0.62,81.66,7/30/2026 8:30:00 AM
"BVN",7842.49,1.61%,0.50,30.91,7/30/2026 4:30:00 PM
"BWIN",3773.76,12.16%,0.54,26.47,7/30/2026 4:30:00 PM
"BXMT",2815.33,5.89%,0.64,16.69,7/30/2026 8:30:00 AM
"BXP",12104.82,6.95%,0.86,69.11,7/28/2026 4:30:00 PM
"CAC",924.05,4.13%,0.98,54.63,7/28/2026 8:30:00 AM
"CAKE",4209.34,19.49%,1.30,84.72,7/28/2026 4:30:00 PM
"CAR",5633.63,15.58%,0.18,159.48,7/28/2026 4:30:00 PM
"CARR",57210.38,1.99%,0.90,68.88,7/28/2026 8:30:00 AM
"CBK",453.65,3.60%,0.89,33.11,7/27/2026 4:30:00 PM
"CBOE",29833.65,3.92%,0.45,285.07,7/31/2026 8:30:00 AM
"CBRE",40836.20,1.85%,0.68,139.46,7/29/2026 8:30:00 AM
"CBU",3533.79,3.61%,0.87,67.24,7/28/2026 8:30:00 AM
"CBZ",2287.05,7.84%,0.89,42.63,7/29/2026 4:30:00 PM
"CCB",1100.81,8.76%,1.33,72.19,7/30/2026 8:30:00 AM
"CCC",3415.99,9.11%,0.47,5.82,7/30/2026 8:30:00 AM
"CCEC",1403.65,0.30%,0.49,23.35,7/29/2026 8:30:00 AM
"CCJ",38265.67,1.69%,1.14,87.86,7/31/2026 8:30:00 AM
"CDNA",1918.63,13.25%,0.53,37.14,7/30/2026 4:30:00 PM
"CDNS",89982.21,2.25%,1.18,326.24,7/27/2026 4:30:00 PM
"CDP",8597.84,6.08%,0.74,38.03,7/27/2026 4:30:00 PM
"CDRO",421.51,2.44%,0.43,9.27,7/30/2026 8:30:00 AM
"CERS",587.08,7.22%,0.89,2.93,7/30/2026 4:30:00 PM
"CFR",10313.16,6.41%,1.27,164.23,7/30/2026 8:30:00 AM
"CGAU",3215.17,2.86%,0.68,16.19,7/28/2026 4:30:00 PM
"CHD",23135.17,4.46%,0.60,97.64,7/31/2026 8:30:00 AM
"CHDN",6028.78,6.00%,0.77,86.50,7/29/2026 4:30:00 PM
"CHE",6784.79,4.34%,0.52,511.13,7/28/2026 4:30:00 PM
"CHEF",3868.17,13.43%,0.76,94.86,7/29/2026 8:30:00 AM
"CHKP",13331.28,7.11%,0.76,130.57,7/30/2026 8:30:00 AM
"CHRW",21983.91,6.40%,2.08,186.51,7/29/2026 4:30:00 PM
"CI",76600.65,2.37%,0.65,289.57,7/30/2026 8:30:00 AM
"CIA",244.68,8.56%,1.08,4.84,7/30/2026 8:30:00 AM
"CIGI",4981.74,1.68%,0.67,97.49,7/30/2026 8:30:00 AM
"CINF",28278.28,2.25%,0.92,182.81,7/27/2026 4:30:00 PM
"CL",72617.18,2.09%,0.61,90.75,7/31/2026 8:30:00 AM
"CLB",537.95,8.86%,1.04,11.67,7/29/2026 4:30:00 PM
"CLH",16051.45,2.30%,0.81,303.74,7/29/2026 8:30:00 AM
"CLMB",473.48,8.79%,0.40,25.46,7/30/2026 8:30:00 AM
"CLS",35098.04,2.65%,1.11,305.28,7/27/2026 4:30:00 PM
"CLVT",1304.00,16.55%,0.69,2.04,7/29/2026 8:30:00 AM
"CLW",271.23,5.12%,0.66,16.82,7/28/2026 4:30:00 PM
"CMCO",464.78,6.80%,1.17,16.12,7/30/2026 8:30:00 AM
"CMG",40778.12,3.98%,0.62,31.79,7/29/2026 4:30:00 PM
"CMPR",2369.41,10.53%,0.37,97.78,7/29/2026 4:30:00 PM
"CMRE",1895.66,3.50%,0.69,15.72,7/27/2026 8:30:00 AM
"CMS",23076.29,6.64%,1.26,74.70,7/28/2026 8:30:00 AM
"CMTG",305.68,3.44%,0.54,2.18,7/29/2026 4:30:00 PM
"CNC",31311.67,2.78%,0.49,63.41,7/28/2026 8:30:00 AM
"CNK",3820.13,8.18%,0.68,32.71,7/30/2026 8:30:00 AM
"CNMD",1285.06,7.77%,0.71,42.68,7/29/2026 4:30:00 PM
