# v6_wfo_report | 2026-07-16 08:15 | v6_backtest.py (ventana 30 sesiones, split 60/40, triple-barrier 0.75xATR14_1m/60min, PROB_MIN=0 en replay para observar todas las clases)
# grid WFO 27-combos (V6_MIN/V6_RVOL/V6_RETR_CONT) NO corrido — fase 2 manual (`--grid`); este reporte = calibracion con defaults.

  SQUEEZE_BREAK_SHORT      train   2n  50.0% | oos   0n   0.0% | avgW +0.26% avgL -0.05% | prob_bot 55% | PRIOR
  TLINE_BREAK_LONG         train   5n  80.0% | oos   5n  20.0% | avgW +0.15% avgL -0.08% | prob_bot 53% | DEGRADADA
  TLINE_BREAK_SHORT        train   5n  60.0% | oos   4n 100.0% | avgW +0.08% avgL -0.08% | prob_bot 56% | PRIOR
  TREND_PULLBACK_SHORT     train   2n  50.0% | oos   1n   0.0% | avgW +0.10% avgL -0.04% | prob_bot 61% | PRIOR
  TREND_REVERSAL_LONG      train   7n  57.1% | oos   4n 100.0% | avgW +0.09% avgL -0.12% | prob_bot 56% | PRIOR
  TREND_REVERSAL_SHORT     train  13n  23.1% | oos   4n  25.0% | avgW +0.11% avgL -0.09% | prob_bot 42% | PRIOR
  VWAP_LOSS_SHORT          train   3n  33.3% | oos   2n 100.0% | avgW +0.08% avgL -0.10% | prob_bot 57% | PRIOR
SPCX: 19 sesiones 2026-06-12..2026-07-10 | 43 trades WR 53% (train 22 / oos 21) | WARN set señales difiere entre pasadas
  ORB_LONG                 train   1n   0.0% | oos   2n 100.0% | avgW +0.28% avgL -0.32% | prob_bot 50% | PRIOR
  ORB_SHORT                train   2n  50.0% | oos   6n  16.7% | avgW +0.26% avgL -0.21% | prob_bot 45% | DEGRADADA
  TLINE_BREAK_LONG         train   5n  20.0% | oos   1n   0.0% | avgW +0.44% avgL -0.21% | prob_bot 48% | PRIOR
  TLINE_BREAK_SHORT        train   4n  75.0% | oos   3n  66.7% | avgW +0.18% avgL -0.33% | prob_bot 58% | PRIOR
  TREND_PULLBACK_LONG      train   0n   0.0% | oos   1n 100.0% | avgW +0.11% avgL +0.00% | prob_bot 62% | PRIOR
  TREND_PULLBACK_SHORT     train   1n 100.0% | oos   3n  33.3% | avgW +0.25% avgL -0.14% | prob_bot 64% | PRIOR
  TREND_REVERSAL_LONG      train   3n   0.0% | oos   0n   0.0% | avgW +0.00% avgL -0.20% | prob_bot 48% | PRIOR
  TREND_REVERSAL_SHORT     train   4n 100.0% | oos   5n  80.0% | avgW +0.40% avgL -0.38% | prob_bot 62% | PRIOR
  VWAP_LOSS_SHORT          train   2n 100.0% | oos   0n   0.0% | avgW +0.47% avgL +0.00% | prob_bot 64% | PRIOR
TSLA: 30 sesiones 2026-05-28..2026-07-10 | 77 trades WR 51% (train 44 / oos 33) | WARN set señales difiere entre pasadas
  ORB_LONG                 train   2n  50.0% | oos   6n  50.0% | avgW +0.17% avgL -0.14% | prob_bot 52% | DEGRADADA
  ORB_SHORT                train   6n  33.3% | oos   2n   0.0% | avgW +0.10% avgL -0.13% | prob_bot 48% | PRIOR
  SQUEEZE_BREAK_SHORT      train   0n   0.0% | oos   1n 100.0% | avgW +0.06% avgL +0.00% | prob_bot 56% | PRIOR
