"No.","Ticker","Beta","Average True Range","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Price","Change","Change from Open","Gap","Volume"
127,"AWR",0.56,1.93,-0.38%,5.15%,12.28%,-4.96%,23.31%,53.66,85.64,-0.37%,-0.85%,0.48%,346509
128,"AXON",1.39,28.95,-2.98%,7.17%,2.51%,-40.43%,55.68%,52.13,527.76,0.47%,1.68%,-1.19%,491397
129,"AZTA",1.35,1.15,5.17%,15.01%,0.32%,-32.59%,76.59%,61.16,28.13,-2.33%,-3.13%,0.83%,456576
130,"BAER",0.35,0.12,1.32%,0.05%,-5.25%,-43.60%,31.97%,52.14,1.94,-2.02%,-3.00%,1.01%,330760
131,"BALL",0.98,1.63,3.19%,9.05%,13.39%,-4.96%,44.77%,61.55,64.90,-0.63%,-0.35%,-0.28%,2169159
132,"BAM",1.24,1.24,2.46%,2.87%,-1.90%,-24.49%,14.69%,56.77,48.40,0.92%,1.15%,-0.23%,2717507
133,"BARK",1.96,0.52,-2.20%,-3.77%,-28.44%,-56.42%,11.16%,47.44,9.06,2.60%,3.07%,-0.45%,59838
134,"BATRA",0.80,1.12,-2.73%,-1.41%,12.45%,-6.78%,31.11%,41.55,54.41,0.09%,0.13%,-0.04%,65114
135,"BATRK",0.81,1.08,-0.93%,-0.01%,14.59%,-4.54%,34.61%,48.50,50.83,0.06%,0.24%,-0.18%,512177
136,"BBBY",2.89,0.34,-2.79%,-11.23%,-13.47%,-60.08%,18.68%,44.12,5.05,2.02%,1.41%,0.61%,1759514
137,"BBD",0.56,0.09,0.78%,3.23%,0.50%,-15.95%,34.34%,53.36,3.61,0.56%,0.28%,0.28%,27387862
138,"BBDC",0.66,0.17,-1.90%,-2.04%,-5.31%,-16.41%,3.64%,44.21,8.25,-0.12%,-0.48%,0.36%,652540
139,"BBSI",0.93,1.35,-0.55%,8.98%,13.54%,-21.37%,54.10%,55.01,39.04,-2.33%,-1.26%,-1.08%,363408
140,"BCBP",0.68,0.34,-2.63%,-5.31%,11.07%,-14.69%,36.66%,42.70,9.99,-2.15%,-2.35%,0.20%,357741
141,"BCC",1.10,3.23,0.45%,4.02%,0.86%,-16.95%,17.51%,50.97,76.38,1.33%,0.58%,0.74%,302422
142,"BCE",0.56,0.48,0.66%,-5.31%,-9.40%,-18.25%,3.88%,46.09,21.68,-0.09%,0.46%,-0.55%,4364657
143,"BCIC",0.44,0.19,-0.44%,-1.70%,-26.60%,-46.46%,7.46%,48.35,7.20,-0.55%,-1.23%,0.69%,42408
144,"BCO",1.02,4.06,3.52%,11.57%,5.02%,-13.14%,39.37%,60.76,118.45,0.83%,1.66%,-0.82%,436814
145,"BCRX",0.55,0.42,-7.77%,-3.06%,9.07%,-19.96%,49.67%,41.78,8.98,-2.81%,-2.07%,-0.76%,2929185
146,"BDSX",0.56,1.72,0.37%,13.11%,66.46%,-14.91%,303.04%,53.72,21.20,-0.63%,-2.62%,2.04%,42031
147,"BDX",0.20,4.34,5.55%,9.21%,6.83%,-11.60%,29.86%,63.77,165.62,0.10%,1.11%,-1.00%,2025133
148,"BGSF",0.45,0.23,-0.35%,2.16%,5.91%,-17.78%,70.77%,51.28,5.55,5.71%,0.00%,5.71%,14683
149,"BHR",0.80,0.12,5.21%,1.29%,-11.81%,-28.84%,20.74%,55.23,2.27,-2.58%,-2.16%,-0.43%,341888
150,"BIO",1.05,10.03,6.21%,8.78%,10.07%,-5.14%,37.49%,66.73,325.48,-0.38%,-1.22%,0.85%,190144
151,"BKH",0.70,1.57,-3.95%,-3.17%,-0.81%,-9.51%,26.46%,37.12,71.21,-1.41%,-0.95%,-0.47%,964103
152,"BKNG",1.07,7.11,5.66%,10.28%,4.03%,-16.78%,28.48%,60.04,192.90,-0.18%,0.68%,-0.85%,4599771
153,"BKSY",2.62,2.13,-2.17%,-24.90%,-12.76%,-56.41%,85.74%,43.50,23.05,2.63%,-0.60%,3.25%,861020
154,"BKV",1.11,1.00,-4.23%,-5.72%,-10.05%,-25.45%,25.05%,42.06,24.46,1.62%,0.74%,0.87%,738549
155,"BL",0.63,1.64,5.59%,8.70%,-23.43%,-47.29%,27.13%,57.81,31.40,2.41%,4.39%,-1.89%,513956
156,"BLBD",1.36,3.00,-3.75%,0.08%,23.43%,-10.79%,73.20%,45.20,74.39,-0.28%,-2.00%,1.76%,375076
157,"BLFS",1.92,1.32,5.85%,13.35%,28.22%,-5.61%,75.14%,62.47,31.28,-1.14%,-0.98%,-0.16%,764549
158,"BLLN",,7.38,7.96%,23.46%,46.46%,-1.00%,123.69%,65.98,138.60,-0.71%,-1.15%,0.44%,531144
159,"BLMN",1.21,0.43,3.55%,5.75%,23.13%,-8.46%,66.86%,55.39,8.66,-2.26%,-1.70%,-0.56%,1652133
160,"BLND",1.09,0.11,0.76%,4.30%,-19.49%,-60.36%,51.49%,52.71,1.78,1.71%,2.89%,-1.14%,1071085
161,"BLNK",2.07,0.04,-6.38%,-19.88%,-40.42%,-80.49%,14.89%,40.39,0.52,5.51%,2.07%,3.37%,1776164
162,"BLZE",1.58,1.26,-3.45%,19.62%,102.67%,-24.82%,320.77%,54.36,13.72,8.63%,1.86%,6.65%,2415423
163,"BMBL",1.88,0.16,-4.02%,-4.55%,-20.06%,-64.17%,12.20%,43.72,2.85,-2.06%,-2.06%,0.00%,1883339
164,"BMRN",0.24,1.58,0.57%,4.79%,6.63%,-9.44%,21.85%,55.11,60.02,-0.92%,-0.60%,-0.33%,2377107
165,"BNTX",1.26,2.36,-1.51%,-0.83%,-7.77%,-26.95%,13.91%,45.77,90.58,-2.44%,-2.64%,0.20%,710906
166,"BOBS",,0.94,4.75%,14.80%,14.96%,-29.03%,71.24%,58.77,16.67,1.52%,1.58%,-0.06%,752817
167,"BOW",-0.11,1.22,-1.26%,5.65%,16.71%,-7.86%,44.22%,52.11,30.59,0.46%,0.79%,-0.33%,107254
168,"BP",0.13,1.04,8.69%,9.35%,13.72%,-6.32%,43.17%,67.01,45.22,2.26%,1.79%,0.46%,12520793
169,"BR",0.88,5.06,2.84%,4.63%,-16.14%,-43.38%,15.03%,56.93,153.95,-0.53%,0.20%,-0.73%,935695
170,"BRBR",0.44,0.77,-2.92%,12.94%,-37.07%,-77.57%,58.44%,50.16,12.39,-5.78%,-4.32%,-1.52%,3267137
171,"BRCC",1.25,0.09,-9.57%,-20.19%,-7.68%,-44.47%,71.67%,38.54,1.03,0.98%,0.00%,0.98%,480032
172,"BRKR",1.27,2.97,4.45%,9.17%,37.27%,-2.63%,120.26%,57.62,62.84,-2.33%,-2.81%,0.50%,1731409
173,"BRLT",1.37,0.08,-8.38%,-9.67%,-32.73%,-66.13%,5.00%,37.24,1.05,-5.41%,-8.70%,3.60%,45141
174,"BROS",2.33,2.73,0.34%,3.35%,14.12%,-11.82%,47.67%,51.75,65.83,0.61%,0.21%,0.40%,2004145
175,"BRSL",1.02,0.31,-5.80%,-8.73%,-25.59%,-45.92%,-0.50%,32.11,10.04,-1.28%,-0.99%,-0.29%,1523468
176,"BSM",0.01,0.29,4.03%,6.50%,5.74%,-3.49%,26.91%,67.22,14.95,1.01%,0.47%,0.54%,147098
177,"BSY",0.97,1.54,8.73%,11.01%,-4.41%,-39.57%,26.23%,61.95,35.44,0.65%,2.34%,-1.65%,2539256
178,"BTG",0.68,0.17,-1.78%,-8.55%,-19.07%,-40.33%,11.94%,43.26,3.75,-2.60%,-1.06%,-1.56%,22887053
179,"BTMD",1.63,0.17,-1.88%,2.55%,0.17%,-50.55%,77.17%,50.47,2.25,1.35%,-1.32%,2.70%,78564
180,"BUR",1.07,0.20,-1.26%,-4.07%,-42.42%,-70.85%,14.76%,46.09,4.12,-2.14%,-1.20%,-0.95%,1530286
181,"BV",1.19,0.45,-7.69%,-3.15%,1.43%,-20.44%,17.90%,34.91,13.04,-1.14%,-1.73%,0.61%,775472
182,"BVS",0.61,0.59,8.36%,27.61%,49.10%,-2.80%,126.68%,68.32,13.17,-0.08%,0.15%,-0.23%,774019
183,"BWA",1.10,2.21,-0.12%,-5.97%,16.28%,-19.13%,81.91%,46.15,63.74,-1.04%,-1.18%,0.14%,1931132
184,"BWXT",0.76,7.74,-4.31%,-10.37%,-14.56%,-30.24%,17.91%,40.88,168.70,1.88%,0.12%,1.75%,887553
185,"BXC",1.45,3.56,-3.48%,-2.04%,-10.21%,-38.30%,21.08%,45.59,54.22,1.42%,0.26%,1.16%,170778
186,"BXDC",,0.82,1.04%,-2.45%,-2.32%,-9.13%,8.39%,50.70,20.81,0.92%,-0.10%,1.02%,808914
187,"BXSL",0.43,0.44,-0.98%,-1.97%,-7.58%,-27.52%,2.80%,44.46,23.10,-0.26%,0.35%,-0.60%,1048651
188,"BYND",2.79,0.04,-7.10%,-16.99%,-37.35%,-92.64%,13.18%,38.25,0.57,1.85%,-0.70%,2.57%,26301092
